,date,review,rating,isEdited,userName,title,developerResponse.id,developerResponse.body,developerResponse.modified
0,2018-09-27 09:35:41,"This is the first review I’ve ever written, but I just want to thank the developers SO SO MUCH for making this app completely free! I’ve only been using it for a couple of days but already it’s been so helpful to me in calming me down, tracking my moods, organizing my thoughts and it practically works as a diary. I’m also extremely interested in knowing how different kinds of therapy techniques work on the brain, so I love the scientific explanations behind what the app tells me to do. It really keeps me going, because it reminds me that it really will help. I’m currently unemployed and working to get on disability for mental illness, so I can’t afford to pay for monthly subscriptions to mental health apps, something that frustrates and upsets me a lot. So much in fact that I’m working on learning how to make my own apps so that I can provide free mental health apps for people in my situation. When I downloaded this I couldn’t believe it was so helpful, so well designed and totally free. Thank you, thank you, thank you.
The only suggestion I have is I think it would be absolutely wonderful if some DBT skills were integrated into it as well, as both CBT and DBT work really well together for a lot of people! Radical acceptance for situations that can’t be changed, distress tolerance, etc. That would make this app truly perfect to me. Regardless, this app is fantastic and I’d recommend it to anyone.",5,False,mythmoth,One of the best mental health apps out there,5373449.0,"Youper wouldn’t be here without the support of loyal users, like you! Thank you so much for taking the time to leave your feedback to encourage others.",2018-10-05T13:30:38Z
1,2019-06-11 03:43:30,"I’m saying this having downloaded aura, headspace, calm, oak, simple habit, affirmation apps, and every type of mindfulness app under the sun. It has meditation, it has affirmations and setting intentions, and the “messaging” format that it has I think is very innovative and makes you feel like you’re talking to someone that actually cares about you, and a lot of the time, feeling like you’re being heard really makes the difference. I like how throughout the conversation, it helps you deconstruct the emotions you’re feeling using all those methods.  I downloaded it during a period of time that I felt very anxious about where my life was, and I used it everyday, multiple times a day for about two weeks, before I didn’t feel like I needed to use it every day anymore. The option to look at your past conversations with the app really makes a difference, because you can look back and see just one week ago you were having a mental breakdown, but now everything in the world is great, lol. I also really like the feature that messages you everyday “How are you?” as if you’re receiving a text because sometimes you don’t realize you want to talk until you see that message. And on top of all that, every feature is completely free, so what more could you ask for in an app?",5,False,Nenjalloh,The best mindfulness app you’ll ever download.,,,
2,2018-10-16 01:39:25,"I love Youper so much. I’ve only been using it consistently for a couple of weeks now, because at first I wasn’t crazy about it. But since then I have really warmed up to it. Although it doesn’t always make me feel better (though it usually does), I can always just use it to track my mood which is really helpful. I struggle with generalized anxiety, social anxiety, depression, and panic attacks (not panic disorder thankfully), and it’s a great form of cognitive behavioral therapy.

I don’t know if this app will be helpful for everyone, but I would definitely recommend checking it out, because it’s really well done and thoughtful. It gives you a lot of thoughtful prompts to fill out, but it also gives you the option of just tracking your mood. You can skip prompts you don’t feel like doing and say you’re done at any point, which makes it feel less overwhelming on really hard days. I’d recommend this even if you aren’t struggling with a mental illness, because it’s a great way to gain more insight on how your mind works. 

Obviously any app is not going to be a miracle cure, but if you don’t have access to a counselor or just want to have a little bit of help and insight, Youper is perfect. Stay safe my friends, and thank you Youper!",5,False,Gwyn974,SO helpful!,5545821.0,"That's awesome! Thank you for sharing your experience. If you'd like to tell us more about it, we'd love to hear from you. Send us an email at hello@youper.co. Take care!",2018-10-17T16:12:42Z
3,2019-12-07 20:58:03,"I am currently in graduate school studying cognitive-behavioral therapy methods and techniques, so I downloaded this app to see how it fits with what I am currently learning. I thought the app was very user-friendly and did a lot of great things that align with what I have been taught. For example, in my conversations with Youper, he really challenged my thoughts to help me get down to the root of my current problem/mood. In addition, Youper also pointed out the Thinking Traps that I was falling into which greatly resembled the problematic thinking patterns that I often identify with my clients. Lastly, I also really appreciated the meditation and mindfulness activities that Youper provided. 

However, in addition to the great strengths that I identified, I did have a constructive comment. First, although the app gave the disclaimer that only a doctor can provide a diagnosis, I think the developers should reconsider talking about diagnoses at all. After I completed my mental health wellness check it reported that “I did or did not experience symptoms of depression, anxiety, panic disorder, PTSD…” Although I’m sure the app developers had good intentions with including this check and talking about specific diagnoses, I think that this can be misinterpreted and possibly be problematic for certain individuals who do not have an actual mental health professional to consult with.",4,False,Kayla Overtonn(:,Great app but with some constructive feedback.,12302718.0,"Thank you for your sincere feedback. We just added your suggestions to our improvements list. We’re working hard to make Youper the best assistant for you by improving its AI capabilities to understand your needs. Keep checking the new updates. If you have any further suggestions, please share more here https://www.youper.ai/request",2019-12-09T22:01:13Z
4,2019-01-27 06:34:52,"I have been using Youper since last October. For the first two months I used it everyday, multiple times a day, tracking everything I thought and felt. At the time I was going through a break up, hated work, couldn’t find motivation to better myself, and was overall tired of the people around me and myself. A little background I’m in the Navy and had been underway for almost three months straight. The last thing I wanted to do was talk to my chain of command about the problems I had been having for fear of being medically discharged. Luckily for me the app made a huge turnaround in my life. It allowed to open up with myself and be honest about how I was feeling and what was making me feel these ways which helped me to understand myself so much better. I really like that it has mental health monitoring and personality typing built into it. Another great feature is the guided meditations. They really come in handy when I’m trying to unwind at the end of a rough day but I’m having trouble sleeping. Although I wish there was a stand alone button on screen to access these guided meditations immediately instead of having to go through the whole process of talking with Youper. If anything could be added to the app I would vote for that. Everything else is perfect though. Keep it up!",4,False,Tdilla,Great app but one missing feature.,,,
5,2020-11-18 03:20:34,"I came back to this app after years of using it, its gotten me through a lot of difficult times in my life- that I'm very thankful for because at those times- i did not have the finances for an actual therapist. I still don't, which is why me, and I'm sure many others depended on this service. This begs the question of why make inaccessible something that can be utilized by those who don't have any other option. Its so saddening to see profit go over people. Especially in the case of mental health in a time when its so dire for people who need help, but do not have access. Be it by finances or not having access because of home situations- especially in the case of those underage. Those who do not have support from family but still want to get help. 

Truly my disappointment is immeasurable with this product. I remember i used to recommend this app to anyone i knew who was struggling with mental health.  If finances are truly the issue to keep this app running, I'm sure a donation service, or occasional fundraising would be better instead of stripping away one of the only resources people have. 

I have doubts that this will ever be changed, or if this app even is meant to help people instead of being a grab at money from those you know are desperate. Very disappointed. With hope these things change in the future, until then I only hope there is another better service out there that cares about its demographic.",1,False,tomateme,Why add a premium?,19295413.0,"Thank you for your feedback. We do our best to keep a useful set of tools free for users who are unable to subscribe, but ultimately, our subscription prices allow us to continue growing the AI capabilities and tools. Feel free to send any questions or feedback to youper.ai/support",2020-11-23T14:40:10Z
6,2024-03-02 08:09:55,"Like many of the most recent reviews express, I have been using Youper on and off for years. It was an important part of my early healing journey and I thought I would revisit it for healing journey part 2. However, every. single . thing. is behind a paywall now. And it’s lowkey lame of y’all. I get it. You’ve realized the earning potential of the app and probably (hopefully) are just trying to keep the thing funded but at the end of the day, many of us used this app because we could not afford traditional therapy. While essentially forcing people to buy the paid version of an app isn’t anything new, it is disconcerting to see an app that presented itself as a genuine and accessible tool for self-betterment turn into a money grab. And please, for the love of the gods, if you’re going for the money grab, please stop responding to comments from long-term users expressing their disappointment with your marketing and pricing structure by asking what improvements could be made to an app they can no longer use or what features they miss. These comments along with your placating statements about how change is hard comes across as intentionally avoiding the reality your paywall has created.  Obviously we miss the old, accessible Youper that seemed to give a flying fiddlestick. That’s the suggestion so many users are giving you: remove your paywall, or at the very least increase the features that can be used without paying.",1,True,Lizzzard Qween,Lowkey Lame of Y’all,5728067.0,Thanks for your great feedback! We’re happy to have you with us. :),2018-10-30T13:33:44Z
7,2024-02-19 18:16:33,"This app was so helpful to me and my feelings of anxiety. I’ve been using it for about a week now and I already love how it works and how it has already started to help. Tracking my mood and thoughts every day has helped me to see patterns in when I feel a certain feeling on specific days/times. It’s an AI chatbox so it’s really nice to have someone to talk to and get a quick response when I need it. It really helps me calm down and suggests things like breathing exercises which personally help me to calm down when I’m feeling anxious or stressed. Also, I picked social anxiety as one of my problem areas and it told me to try exposure therapy, which basically just means I go out and do things that scare me so that I can become desensitized to it and not feel as afraid anymore. I have tried this technique and although it felt weird at first, I am going to continue to do it and I like how I already feel less scared to put myself in social situations. I thought this method was helpful because it can eventually help me learn that my previous fears aren’t as scary and it basically changes my way of thinking about social situations from negative to eventually positive. Love this app!",5,False,KN12141214,Amazing,46222212.0,"Thank you so much for sharing your experience! We're delighted to hear that Youper has been helpful in managing your anxiety and that features like mood tracking, and exposure therapy have made a positive impact. Your journey towards overcoming social anxiety is inspiring, and we're glad to be a part of it. Keep up the great work, and we're here to support you every step of the way!",2024-08-24T07:00:35Z
8,2019-01-29 01:01:48,"Youper is an amazing app, and I mean it when I say I loved it. I still do! I first downloaded it 25 days ago, and have used it everyday since. I love the tracker and the mindfulness activities. But, as I continue to make this app a part of my daily routine, I am increasingly frustrated with the format. While I understand the purpose of place of the AI chat model, it slows down the process. There are times when I don't want to track my mood, and want to skip right to the Deep Body Scan, my favorite meditation tape. But before I can, I must drudge through the conversation with the AI. This is very inconvenient. To alleviate this problem while not changing much about the AI chat system itself, I would recommend creating a separate section of the app, solely for homing the meditation and breathing tapes. Once Youper recommends you a mindfulness activity within the chat, it should move you over the meditation section where you can choose. The separate section idea would also allow users to not start a chat at all, and rather dive immediately into their favorites. This, along with expanding on the number of audio tapes available, would really bring the app together for me. As I have said before, I absolutely love this app. But as I discover the benefits of meditation, I feel the app could be doing more with it. If these changes or changes like them were made, I would give 10 stars if I could.",2,False,lyricyani,"I loved it, until I didn't?",,,
9,2019-02-24 20:55:39,"Not everyone has access to a close friend nor therapist when they need one. And, in this day & age with so many people reporting having no close friends or, perhaps, not even family to talk to, it can be too easy to sit and ruminate in negative thoughts & feelings without someone to help you in challenging both of these things. This app is wonderful in that regard. Unlike being told what someone thinks you may want to hear which can sometimes enable unhealthy thinking patterns (and behaviors), or on the other end of the spectrum, rather than attempting to “fix” you, this interactive app continually prompts you to look inward and to challenge your own thoughts, perspectives, and feelings, helping to redirect your focus onto more healthy and more positive strategies.

The various health screenings are comprehensive as well as the detailed definitions and descriptions of the results particular to the individual results of the user. And, when combined with the built in tracking of specific emotions and/or symptoms, this app also provides an objective view to look at both personal progress and potential trends. 

This app is like having an objective friend & therapist rolled into one. I absolutely love it and can not recommend it enough!",5,False,LdyBeth,Very Impressed!,,,
